 ID  NAME         Disk     Recs      Len  InstLen   Start   End
  0  DIRECTORY       0      163       21        0    0000   0000
  1  INSTANCE        2     9408       16        0    3F80   643F
  2  IROOT           0        0        0        0    0000   0000
  3  ISYSTEM         0        0        0        0    0000   0000
  4  INACTIVE        0        0        0        0    0000   0000
  5  FRAGMENT        0        0        0        0    0000   0000
  6  ELO-CPIC        1      301       16        0    0100   022C
  7  IAPPLICATION    0        0        0        0    0000   0000
  8  GAZ-CPIC        1      195       16        0    022D   02EF
  9  MEC-CPIC        1      178       16        0    02F0   03A1
 10  BOOT/KERNEL     0     8192       16        0    0000   0000
 11  BOX             2       64       16        8    6440   647F
 12  STARPORT        0        0        0        0    0000   0000
 13  BANK            0        0        0        9    0000   0000
 14  BANK-TRANS      2        7       19        6    6480   6488
 15  PERSONNEL       0        0        0        0    0000   0000
 16  CREWMEMBER      2        6       20       24    6489   6490
 17  ASSIGN-CREW     0        0        0       24    0000   0000
 18  SHIP-CONFIG     0        0        0        0    0000   0000
 19  TRADE-DEPOT     0        0        0        0    0000   0000
 20  SHIP            0        0        0       75    0000   0000
 21  MYS-CPIC        1      379       16        0    03A2   051C
 22  TIME            0        0        0        4    0000   0000
 23  STARSYSTEM      0        0        0        8    0000   0000
 24  STAR            0        0        0        6    0000   0000
 25  VESSEL          2       26       73       16    6491   6509
 26  ELEMENT         2       23       23        6    650A   652B
 27  MESSAGE         0        0        0       17    0000   0000
 28  ARTIFACT        2       52       30        6    652C   658E
 29  PROJECTILE      0        0        0        8    0000   0000
 30  NOM-CPIC        1       71       16        0    051D   0563
 31  SPE-CPIC        1      118       16        0    0564   05D9
 32  PLANET          2       61       22        0    658F   65E3
 33  THR-CPIC        1      155       16        0    05DA   0674
 34  OPERATIONS      0        0        0        0    0000   0000
 35  NOTICE          0        0        0        1    0000   0000
 36  EVALUATION      0        0        0       25    0000   0000
 37  VEL-CPIC        1      292       16        0    0675   0798
 38  VPR-CPIC        1       78       16        0    0799   07E6
 39  MIN-CPIC        1      131       16        0    07E7   0869
 40  SPECIMEN        2       28       16       13    65E4   65FF
 41  RUIN            0        0        0        7    0000   0000
 42  TVEHICLE        0        0        0        7    0000   0000
 43  BIO-DATA        0       28       16       13    65E4   65FF
 44  TPORT-PIC       2      151       16        0    6600   6696
 45  FLUX-NODE       0        0        0        8    0000   0000
 46  NEBULA          0        0        0        6    0000   0000
 47  CAPT-LOG        0        0        0       36    0000   0000
 48  STRING          0        0        0        0    0000   0000
 49  BPORT-PIC       2      249       16        0    6697   678F
 50  PHRASECONTRL    0        0        0        6    0000   0000
 51  SUBJECT         0        0        0        0    0000   0000
 52  ORIGINATOR      0        0        0       19    0000   0000
 53  MESSAGE'        0        0        0        2    0000   0000
 54  SPLASH          1     1024       16        0    086A   0C69
 55  TEXT            0        0        0       40    0000   0000
 56  SCROLL-TEXT     0        0        0       44    0000   0000
 57  ANALYZE-TEXT    2       16      190        0    6790   6857
 58  BUTTONS         2       12       73        0    6858   6892
 59  BLT-HEAD        0        0        0       18    0000   0000
 60  MED-PIC         1      128       16        0    0C6A   0CE9
 61  ENCOUNTER       0        0        0       17    0000   0000
 62  ICON1:1         2       50       18        0    6893   68CB
 63  ICON1:2         2       50       18        0    68CC   6904
 64  ICON1:4         2       50       18        0    6905   693D
 65  ICON-NAME       2       27       27        0    693E   696B
 66  DPART-OV        2       97       16        0    696C   69CC
 67  REGIONS         2        6       28        2    69CD   69D7
 68  CREATURE        2      100      156       17    69D8   6DFF
 69  PHAZES          4      384       16        0    0D00   0E7F
 70  CHKFLIGHT-OV    2       60       16        0    6E00   6E3B
 71  FRACT-OV        2      290       16        0    6E3C   6F5D
 72  ICONP-OV        2       52       16        0    6F5E   6F91
 73  SITE-OV         2      118       16        0    6F92   7007
 74  HYPERMSG-OV     2      257       16        0    7008   7108
