AFIELD                   BOX-NAMe                  File: BOX              Offset:   0       Length:  16
AFIELD  VITA-OV          _tv-hold                  File: BOX              Offset:  17       Length:   2
AFIELD  BANK-OV          [A-BANK-TRANS:0-19]       File: BANK-TRANS       Offset:   0       Length:  19
AFIELD  ASSCREW-OV       _cm-species               File: CREWMEMBER       Offset:   0       Length:   8
AFIELD  PERSONNEL-OV     _cm-species               File: CREWMEMBER       Offset:   0       Length:   8
AFIELD  PERSONNEL-OV     _cm-inital-stats          File: CREWMEMBER       Offset:   8       Length:   1
AFIELD  PERSONNEL-OV     _cm-max-stats             File: CREWMEMBER       Offset:  13       Length:   1
AFIELD  PERSONNEL-OV     _cm-learning-rate         File: CREWMEMBER       Offset:  18       Length:   1
AFIELD  ASSCREW-OV       _cm-learning-rate         File: CREWMEMBER       Offset:  18       Length:   1
AFIELD  PERSONNEL-OV     _cm-durability            File: CREWMEMBER       Offset:  19       Length:   1
AFIELD  HEAL-OV          _cm-durability            File: CREWMEMBER       Offset:  19       Length:   1
AFIELD  DOCTOR           _cm-durability            File: CREWMEMBER       Offset:  19       Length:   1
AFIELD  DAMAGE-OV        _cm-durability            File: CREWMEMBER       Offset:  19       Length:   1
AFIELD  BEHAV-OV         _cm-durability            File: CREWMEMBER       Offset:  19       Length:   1
AFIELD  ASSCREW-OV       _cm-durability            File: CREWMEMBER       Offset:  19       Length:   1
AFIELD  STORM-OV         _cm-durability            File: CREWMEMBER       Offset:  19       Length:   1
AFIELD  SENT-OV          [A-STAR:0-3]              File: STAR             Offset:   0       Length:   3
AFIELD  ANALYZE-OV       _ves_owner                File: VESSEL           Offset:   0       Length:   1
AFIELD  ANALYZE-OV       _ves_class                File: VESSEL           Offset:   4       Length:   1
AFIELD  COMM-OV          _ves_power                File: VESSEL           Offset:   5       Length:   1
AFIELD  HYPERMSG-OV      _ves_power                File: VESSEL           Offset:   5       Length:   1
AFIELD  DAMAGE-OV        _ves_power                File: VESSEL           Offset:   5       Length:   1
AFIELD  HYPERMSG-OV      _ves_speed                File: VESSEL           Offset:   6       Length:   1
AFIELD  ANALYZE-OV       _ves_speed                File: VESSEL           Offset:   6       Length:   1
AFIELD  ANALYZE-OV       _ves_mass                 File: VESSEL           Offset:   7       Length:   2
AFIELD  SCIENCE          _ves_mass                 File: VESSEL           Offset:   7       Length:   2
AFIELD  COMBAT-OV        _ves_rate-of-fire         File: VESSEL           Offset:  11       Length:   1
AFIELD  HYPERMSG-OV      _ves_armor-shield         File: VESSEL           Offset:  12       Length:   4
AFIELD  SCIENCE          _ves_armor                File: VESSEL           Offset:  12       Length:   2
AFIELD  COMM-OV          _ves_armor-shield         File: VESSEL           Offset:  12       Length:   4
AFIELD  DAMAGE-OV        _ves_armor-shield         File: VESSEL           Offset:  12       Length:   4
AFIELD  ANALYZE-OV       _ves_shield               File: VESSEL           Offset:  14       Length:   2
AFIELD  COMBAT-OV        _ves_shield               File: VESSEL           Offset:  14       Length:   2
AFIELD  SCIENCE          _ves_shield               File: VESSEL           Offset:  14       Length:   2
AFIELD  DAMAGE-OV        _ves_missle_hit           File: VESSEL           Offset:  16       Length:   1
AFIELD  ANALYZE-OV       _ves_laser_hit            File: VESSEL           Offset:  18       Length:   1
AFIELD  DAMAGE-OV        _ves_laser_hit            File: VESSEL           Offset:  18       Length:   1
